epoch,test_accuracy,start_time,cur_time
1,97.95,1629377296.8588674,1629377302.840034
2,98.46,1629377296.8588674,1629377308.7291603
3,98.79,1629377296.8588674,1629377314.6835642
4,98.97,1629377296.8588674,1629377320.6869538
5,98.95,1629377296.8588674,1629377326.5274065
6,99.13,1629377296.8588674,1629377332.446439
7,99.09,1629377296.8588674,1629377338.3720603
8,99.12,1629377296.8588674,1629377344.2516487
9,99.12,1629377296.8588674,1629377350.2396934
10,99.18,1629377296.8588674,1629377356.0394094
11,99.25,1629377296.8588674,1629377362.0240386
12,99.22,1629377296.8588674,1629377368.054476
13,99.23,1629377296.8588674,1629377373.92812
14,99.27,1629377296.8588674,1629377379.868459
15,99.25,1629377296.8588674,1629377385.6964939
16,99.21,1629377296.8588674,1629377391.5664678
17,99.24,1629377296.8588674,1629377397.4433708
18,99.27,1629377296.8588674,1629377403.49949
19,99.28,1629377296.8588674,1629377409.1793513
20,99.28,1629377296.8588674,1629377415.2821546
