epoch,test_accuracy,start_time,cur_time
1,90.41,1629375516.720468,1629375522.8335147
2,95.98,1629375516.720468,1629375528.8673096
3,97.21,1629375516.720468,1629375534.4482403
4,97.81,1629375516.720468,1629375540.2333205
5,97.86,1629375516.720468,1629375546.2395735
6,98.06,1629375516.720468,1629375552.308592
7,98.25,1629375516.720468,1629375558.1442087
8,98.29,1629375516.720468,1629375564.070766
9,98.55,1629375516.720468,1629375569.836799
10,98.66,1629375516.720468,1629375575.6955962
11,98.68,1629375516.720468,1629375581.5658214
12,98.83,1629375516.720468,1629375587.468844
13,98.79,1629375516.720468,1629375593.35871
14,98.83,1629375516.720468,1629375599.2914202
15,98.8,1629375516.720468,1629375605.216237
16,98.89,1629375516.720468,1629375611.3375316
17,98.8,1629375516.720468,1629375617.356048
18,98.92,1629375516.720468,1629375623.1298552
19,98.9,1629375516.720468,1629375629.1326456
20,98.98,1629375516.720468,1629375635.110816
